cl_min_perf,cl_max_perf,cl_median_perf,cl_mean_perf,cl_std_perf,pr_min_perf,pr_max_perf,pr_median_perf,pr_mean_perf,pr_std_perf,p_min_perf,p_max_perf,p_median_perf,p_mean_perf,p_std_perf,classifier-num,preprocessor-num,preprocessor,classifier,pipeline
0.0,1.0,0.7459018538186272,0.6869688019548278,0.2535608669915766,0.0,1.0,0.782650291663753,0.6956456857732111,0.2693707357865937,0.0033783596231403,1.0,0.6782603460997079,0.6234654287145105,0.2853490494732222,12,12,select_rates_classification,passive_aggressive,select_rates_classification-passive_aggressive
0.0,1.0,0.7662854076176069,0.6771527410413897,0.2795401038795396,5.306792360277604e-06,1.0,0.7912087912087911,0.7183673989641628,0.2414654502775805,6.192767344746102e-05,1.0,0.6939338322841017,0.6207777562549215,0.2807059291187517,2,8,pca,decision_tree,pca-decision_tree
0.0106581644331017,1.0,0.8031606942638081,0.7406746888072195,0.2200649593855933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,kernel_pca,lda,kernel_pca-lda
0.0008430092886448,1.0,0.91995841995842,0.8483646653341912,0.1871904395638968,6.192917290686654e-05,1.0,0.8278892695961235,0.7609511780611006,0.2186296435741766,0.0301802494805592,1.0,0.8757563812828151,0.8144684595924775,0.1968066916981673,0,10,random_trees_embedding,adaboost,random_trees_embedding-adaboost
0.0,1.0,0.7459018538186272,0.6869688019548278,0.2535608669915766,0.0,1.0,0.8251474016179899,0.7317497402357995,0.2564145839160007,0.0001377410468319,1.0,0.83951211174028,0.7553784896284937,0.2296530326315323,12,9,polynomial,passive_aggressive,polynomial-passive_aggressive
0.0001060958869443,1.0,0.6674997323363305,0.6157928064593604,0.2561494848859982,0.0,1.0,0.8391243051365023,0.742669168994915,0.253994487338153,0.0154926304109876,1.0,0.4060002586318376,0.4857543395397755,0.2735453955651269,1,2,feature_agglomeration,bernoulli_nb,feature_agglomeration-bernoulli_nb
0.0,1.0,0.7838351480071816,0.6845613534589188,0.2849750017045113,0.0,1.0,0.8391243051365023,0.742669168994915,0.253994487338153,0.00062379399827,1.0,0.735089314153375,0.6426890110150918,0.3103377748879786,10,2,feature_agglomeration,mlp,feature_agglomeration-mlp
0.0,1.0,0.7097471208097682,0.6342580950283898,0.2981601435566143,0.0,1.0,0.8391243051365023,0.742669168994915,0.253994487338153,0.0,1.0,0.6356760649932134,0.5897229319481462,0.294213717397071,9,2,feature_agglomeration,libsvm_svc,feature_agglomeration-libsvm_svc
0.0,1.0,0.7459018538186272,0.6869688019548278,0.2535608669915766,0.0,1.0,0.8298127021022589,0.7458946877406527,0.2432849753229347,0.0439989555144091,1.0,0.7202976930280796,0.673729747941114,0.2328145468259783,12,6,no_preprocessing,passive_aggressive,no_preprocessing-passive_aggressive
0.0,1.0,0.6868417720358763,0.6348791596130984,0.2707159461494897,0.0,1.0,0.6619433671194055,0.6030203470605434,0.3001015024753091,0.0,0.9928458051181328,0.415419236970961,0.4756516203655843,0.29194372881543,13,4,kitchen_sinks,qda,kitchen_sinks-qda
0.0,1.0,0.8929169329216888,0.8410117983854665,0.1694990582412101,0.0,1.0,0.8298127021022589,0.7458946877406527,0.2432849753229347,0.1341866460675488,1.0,0.9282177162620924,0.8815348159034824,0.1346435025627203,6,6,no_preprocessing,k_nearest_neighbors,no_preprocessing-k_nearest_neighbors
0.0,1.0,0.6868417720358763,0.6348791596130984,0.2707159461494897,0.0,1.0,0.8391243051365023,0.742669168994915,0.253994487338153,0.0008368502268163,1.0,0.7986467236467236,0.7294814953148457,0.2257252805564556,13,2,feature_agglomeration,qda,feature_agglomeration-qda
0.0106581644331017,1.0,0.8031606942638081,0.7406746888072195,0.2200649593855933,0.0,1.0,0.782650291663753,0.6956456857732111,0.2693707357865937,0.0192672265323911,1.0,0.810674863590346,0.7390369133010604,0.230638797553815,7,12,select_rates_classification,lda,select_rates_classification-lda
0.0008430092886448,1.0,0.8502491632617839,0.7983132127010153,0.1843418608151061,6.192917290686654e-05,1.0,0.8278892695961235,0.7609511780611006,0.2186296435741766,0.0380624178519468,1.0,0.8567171239259894,0.8125025721682259,0.1622038867356617,3,10,random_trees_embedding,extra_trees,random_trees_embedding-extra_trees
0.0001060958869443,1.0,0.6674997323363305,0.6157928064593604,0.2561494848859982,0.0,1.0,0.6619433671194055,0.6030203470605434,0.3001015024753091,0.0026157373174712,1.0,0.7252866042339725,0.6630422236016859,0.2450503011871429,1,4,kitchen_sinks,bernoulli_nb,kitchen_sinks-bernoulli_nb
0.0106581644331017,1.0,0.8031606942638081,0.7406746888072195,0.2200649593855933,0.0,1.0,0.7842633528295555,0.7060106585609369,0.2614373247758434,0.0509039696968319,1.0,0.7693497644984764,0.7150609390362733,0.2297356321458752,7,5,liblinear_svc_preprocessor,lda,liblinear_svc_preprocessor-lda
0.0,1.0,0.7097471208097682,0.6342580950283898,0.2981601435566143,0.0,1.0,0.7975153191740494,0.7154069144610226,0.2565631614810367,0.0,1.0,0.6690811572350669,0.6130391984597585,0.3063110838859147,9,11,select_percentile_classification,libsvm_svc,select_percentile_classification-libsvm_svc
9.849305623953512e-05,1.0,0.7459354202133051,0.6983540689234604,0.2281141055065777,0.0,1.0,0.782650291663753,0.6956456857732111,0.2693707357865937,0.0729199626203512,1.0,0.78821933425607,0.7120908972302628,0.2275139365929271,4,12,select_rates_classification,gaussian_nb,select_rates_classification-gaussian_nb
